hip_name,sy_pnum
10037,3
10085,1
100970,1
10117,1
101252,1
10138,1
101806,1
101948,1
101966,1
102125,1
102401,2
102409,3
10301,2
10337,2
103527,1
103768,1
104202,2
104436,1
104513,1
104780,1
104903,1
105056,2
105232,1
105854,1
106006,3
10626,1
106353,1
106440,1
10657,1
106824,1
107038,1
107089,1
107160,1
107251,1
107350,1
10743,2
107772,1
107773,1
107985,2
10800,1
108162,1
108296,1
108375,1
108513,1
108859,1
108870,1
109378,1
109381,1
109384,1
109388,2
109577,1
109600,1
109656,1
109876,1
110094,1
110443,1
11048,1
110620,1
110758,1
110813,1
110852,1
111136,1
111143,1
11130,1
111553,2
111928,1
112190,4
112441,2
112527,2
113020,4
113044,1
113103,2
113137,1
113238,1
113357,1
113421,2
113834,2
11397,1
114046,2
114189,4
114322,1
11433,2
114458,1
114622,6
114699,1
114840,1
114855,1
114933,1
115100,2
115211,1
115218,1
115359,1
115662,1
115697,1
115714,1
115752,3
116076,1
116084,1
116132,1
116158,1
116221,1
116250,1
116454,1
116616,1
116630,1
116727,1
116748,1
116805,1
116906,1
117883,1
11791,2
118228,1
118319,1
120005,1
12048,1
12184,1
12186,1
12191,1
12247,1
12436,1
12653,1
12684,1
1292,1
12961,1
13192,1
13224,1
13291,1
13363,3
13467,1
13642,2
13754,1
13993,1
14101,2
1419,1
14417,1
14530,2
1475,2
14810,3
14954,1
1499,2
15249,1
1547,1
15510,4
15526,5
15527,5
15578,1
15799,1
16012,1
16069,2
16085,2
1640,2
16537,1
1666,1
16711,1
1692,1
17047,3
17054,1
17096,1
17187,1
17264,5
17515,1
17747,1
17960,2
18387,1
18451,1
18527,1
19011,1
19165,1
19207,1
1931,1
19394,3
19428,1
19849,1
19921,1
19950,1
19976,1
20199,1
20277,3
20606,1
20723,2
20753,1
20889,1
21109,1
21152,1
21421,1
21547,1
21571,1
21850,2
21932,1
22320,1
22336,1
2247,1
22491,1
22627,1
22762,3
22826,1
22905,3
2350,1
23844,3
23884,1
23889,1
24003,1
24186,1
24275,2
24323,1
24681,6
25110,1
25191,1
25486,1
25793,1
25883,1
26013,3
2611,1
26380,1
26381,3
26394,3
26638,1
26664,2
27080,3
27253,2
27305,4
27321,2
2736,4
27384,1
27515,1
27803,2
27887,5
27922,1
28393,2
28754,1
28767,1
28941,1
28951,1
29242,1
29295,2
29301,1
29432,1
29442,3
29550,2
30034,1
30057,1
30114,1
30503,2
30579,2
30860,1
30905,1
3093,1
31039,1
31246,1
3143,1
31540,2
31592,2
31635,2
31674,2
31688,1
31895,1
3206,1
32209,1
32775,1
32916,1
32970,2
33212,1
33226,1
33229,2
33719,1
3391,1
34222,1
34693,1
34785,1
3479,1
34801,1
3497,1
3502,2
35173,1
3574,1
35965,1
36208,2
36616,1
36795,2
36941,2
37196,1
37284,1
37826,1
38041,1
38228,3
3834,2
38374,2
38392,1
38558,2
38594,2
3869,1
3911,2
39311,1
39417,2
39589,1
3975,1
39767,2
40344,1
40526,1
40687,2
40693,3
40952,1
41378,5
41704,1
41997,1
42030,2
42098,1
42202,2
42214,1
42282,2
42401,2
42446,1
42527,1
42532,2
42723,2
4297,2
43177,1
43297,1
43569,2
43587,5
43674,1
43686,1
43790,2
43803,1
44291,1
44746,1
45406,1
4552,1
45982,1
46022,1
46076,1
46471,1
47007,2
47087,1
47103,3
4715,1
47193,2
47202,2
47780,3
48235,1
48331,1
4845,1
48455,1
48711,1
48714,1
4872,1
48739,2
48780,1
49067,2
49129,1
49189,1
49522,1
49699,1
49813,1
50316,1
50473,1
50496,1
5054,1
50583,1
50653,1
50786,1
50887,2
50921,1
51260,1
51317,1
5158,2
522,3
52409,2
52521,1
52733,1
52796,1
5301,1
53437,1
53524,1
53545,1
53666,2
53719,1
53721,3
53733,1
54035,2
54158,1
54195,1
54203,1
54232,1
54373,2
54400,3
54413,1
5447,1
54595,1
54597,1
54646,2
54906,1
55042,1
55174,1
5529,1
55409,1
55486,1
55507,1
55664,1
55806,1
55848,2
55994,2
56379,1
5643,3
56508,1
56528,3
56572,1
56640,1
57050,2
57087,1
57099,1
57172,1
57274,3
57291,1
57370,1
57428,1
57443,1
57467,2
57548,1
5763,1
57735,1
57820,1
57931,1
5806,1
5812,1
58237,1
58263,1
58331,1
58374,1
58451,1
58952,1
59514,1
59610,1
59625,1
59743,1
59960,1
60081,2
60093,1
60202,1
60398,1
60644,1
60648,1
60689,5
60788,1
61020,1
61028,2
61177,1
61298,1
61300,2
61595,1
61706,1
61723,2
61740,1
61820,2
62039,1
62452,1
62534,2
62653,1
62662,1
62875,1
62908,1
63090,1
63203,1
63211,1
63242,1
63510,1
63584,2
6365,1
6379,3
63833,2
6390,1
64022,1
64184,1
64295,1
64408,1
64457,2
64459,1
64792,1
64797,2
64924,3
65,1
65042,1
6511,1
65117,2
65407,2
65426,1
65721,1
65808,1
65859,1
65891,1
66047,1
66074,1
66192,1
6643,1
66903,1
6702,1
67246,1
67275,1
67285,1
67522,1
67537,1
67851,2
68162,1
68469,1
69888,1
6993,1
70123,3
70170,1
70623,1
70695,1
70705,1
70791,1
70849,1
70890,1
70950,1
71135,1
71253,1
71395,2
71481,1
72203,1
72339,1
7245,2
72607,1
72845,1
73136,1
73146,1
73261,1
73427,2
73608,1
73674,3
738,1
74273,2
74500,2
74653,5
74793,1
74856,1
74890,1
74948,1
74961,1
74981,1
74995,3
75049,1
75092,1
7513,3
75181,3
75281,1
75458,2
7562,2
7599,6
76311,1
76333,2
76351,1
77257,1
77301,4
77358,2
77517,1
77578,1
77655,1
77740,1
77783,1
77838,1
78159,1
78169,1
78407,1
78459,4
78521,1
78530,1
79098,1
79126,1
79219,1
79242,1
79248,2
79346,1
79431,1
79540,1
79755,1
7978,1
80076,2
801,1
80250,2
80337,1
80459,1
80484,2
80486,2
80680,1
80687,1
80824,3
80838,1
80902,1
8102,4
81022,1
81208,1
81375,1
8159,1
82632,1
82651,1
83020,3
83043,1
83289,1
83389,1
83541,1
83547,1
83949,2
83983,1
84069,2
84171,2
84460,2
84607,2
84769,1
84787,1
84856,1
84988,2
8501,1
85268,5
85294,1
8541,2
85523,1
85647,4
85911,2
86057,1
86087,1
86162,2
86214,2
86221,1
86287,1
86375,2
86620,1
86796,4
87330,1
87601,2
8770,3
88048,2
88194,1
88268,1
88348,4
88414,1
88595,1
88617,1
88650,1
89047,1
8928,1
89354,1
89474,1
89583,1
89844,2
90004,1
90344,1
90485,2
90593,1
9094,2
90979,2
90988,1
91085,1
91128,1
91258,1
91388,1
91608,1
91852,1
9242,1
92680,1
92895,1
93101,1
93281,1
93373,1
93540,2
93746,2
93858,1
94075,1
94112,1
94235,1
94256,1
94465,1
94576,1
94645,1
94761,1
948,1
94931,5
94951,1
95015,1
95124,1
9519,1
95262,1
95467,3
95740,2
96078,1
96160,1
9618,2
96258,1
96507,1
96618,1
9683,2
96861,1
96901,1
97166,2
97233,1
97336,2
97546,1
97657,2
97769,1
97938,1
98505,1
98668,1
98698,1
98714,1
98767,2
9884,1
98959,2
99115,1
99175,6
99306,1
99496,1
9960,1
99699,1
99711,1
99770,1
99825,2
99894,1